time,logN,pH,strain
0,5.949390007,3,1
0,5.707570176,3,1
0,5.819543936,3,1
1.5,6.06069784,3,1
1.5,6.037426498,3,1
1.5,5.84509804,3,1
3,5.84509804,3,1
3,6.079181246,3,1
3,5.755874856,3,1
4.5,5.851258349,3,1
4.5,5.643452676,3,1
4.5,5.62324929,3,1
6,5.11058971,3,1
6,5.161368002,3,1
6,5.269512944,3,1
7.5,4.158362492,3,1
7.5,4.149219113,3,1
7.5,4.045322979,3,1
9,2.857332496,3,1
9,2.698970004,3,1
9,2.477121255,3,1
10.5,2.892094603,3,1
10.5,1.477121255,3,1
10.5,1.602059991,3,1
0,5.176091259,3.2,1
0,5.681241237,3.2,1
0,5.77815125,3.2,1
6,5.113943352,3.2,1
6,5.672097858,3.2,1
6,5.301029996,3.2,1
12,5.079181246,3.2,1
12,5.079181246,3.2,1
12,5.230448921,3.2,1
18,2.602059991,3.2,1
18,3.770852012,3.2,1
18,3.954242509,3.2,1
24,2.602059991,3.2,1
24,2,3.2,1
24,2.698970004,3.2,1
0,5.414973348,3.4,1
0,5.662757832,3.4,1
0,4.602059991,3.4,1
15,5.431363764,3.4,1
15,5.397940009,3.4,1
15,4.77815125,3.4,1
30,4.903089987,3.4,1
30,5.146128036,3.4,1
30,5.431363764,3.4,1
45,5.089905111,3.4,1
45,3.477121255,3.4,1
45,4.77815125,3.4,1
60,4.173186268,3.4,1
60,3.556302501,3.4,1
60,4.285557309,3.4,1
75,3.113943352,3.4,1
75,2.698970004,3.4,1
75,2,3.4,1
0,5.176091259,3.6,1
0,5.681241237,3.6,1
0,5.77815125,3.6,1
20,5.556302501,3.6,1
20,5.414973348,3.6,1
20,5.897627091,3.6,1
40,4,3.6,1
40,4,3.6,1
40,5,3.6,1
60,3,3.6,1
60,3,3.6,1
60,3.477121255,3.6,1
80,2.301029996,3.6,1
80,2.477121255,3.6,1
80,2.77815125,3.6,1
0,5.886490725,3.8,1
0,5.959041392,3.8,1
0,5,3.8,1
30,5.62324929,3.8,1
30,5.740362689,3.8,1
30,5.447158031,3.8,1
60,5.929418926,3.8,1
60,5.897627091,3.8,1
60,5.491361694,3.8,1
90,5.748188027,3.8,1
90,5.740362689,3.8,1
90,5.531478917,3.8,1
120,5.672097858,3.8,1
120,5.51851394,3.8,1
120,5.113943352,3.8,1
150,5.568201724,3.8,1
150,5.361727836,3.8,1
150,4,3.8,1
180,4.301029996,3.8,1
180,4,3.8,1
180,4,3.8,1
0,5.612783857,3,2
0,6.103803721,3,2
0,6.017033339,3,2
1.5,5.982271233,3,2
1.5,6.158362492,3,2
1.5,6.187520721,3,2
3,5.748188027,3,2
3,6.053078443,3,2
3,5.740362689,3,2
4.5,5.633468456,3,2
4.5,5.447158031,3,2
4.5,4.77815125,3,2
6,5.064457989,3,2
6,4.556302501,3,2
6,3.477121255,3,2
7.5,3.612783857,3,2
7.5,2.477121255,3,2
7.5,2.301029996,3,2
9,3.447158031,3,2
9,1.602059991,3,2
9,1.602059991,3,2
0,5.991226076,3.2,2
0,6.136720567,3.2,2
0,6.195899652,3.2,2
4,5.748188027,3.2,2
4,6,3.2,2
4,5.982271233,3.2,2
8,5.204119983,3.2,2
8,5.505149978,3.2,2
8,5.342422681,3.2,2
12,3.301029996,3.2,2
12,3,3.2,2
12,3.903089987,3.2,2
16,1,3.2,2
16,2,3.2,2
16,1,3.2,2
0,5.491361694,3.4,2
0,6.11058971,3.4,2
0,6.021189299,3.4,2
15,5.740362689,3.4,2
15,5.698970004,3.4,2
15,5.892094603,3.4,2
30,5.447158031,3.4,2
30,5.832508913,3.4,2
30,5.86923172,3.4,2
45,5.471291711,3.4,2
45,5.146128036,3.4,2
45,4.748188027,3.4,2
60,4.698970004,3.4,2
60,4.808885867,3.4,2
60,4.62324929,3.4,2
75,3.579783597,3.4,2
75,3.440909082,3.4,2
75,3.1430148,3.4,2
90,3.342422681,3.4,2
90,3.06069784,3.4,2
90,2.568201724,3.4,2
105,2.963787827,3.4,2
105,3.283301229,3.4,2
105,2.380211242,3.4,2
120,3.146128036,3.4,2
120,2.973127854,3.4,2
120,1.698970004,3.4,2
0,5.968482949,3.6,2
0,5.944482672,3.6,2
0,5.380211242,3.6,2
20,5.886490725,3.6,2
20,5.968482949,3.6,2
20,5.86923172,3.6,2
40,5.477121255,3.6,2
40,5.361727836,3.6,2
40,5.380211242,3.6,2
60,4.414973348,3.6,2
60,4.447158031,3.6,2
60,4.491361694,3.6,2
80,3,3.6,2
80,3,3.6,2
80,3,3.6,2
100,2.301029996,3.6,2
100,2.477121255,3.6,2
100,2,3.6,2
0,5.968482949,3.8,2
0,5.944482672,3.8,2
0,5.380211242,3.8,2
30,5.505149978,3.8,2
30,5.763427994,3.8,2
30,5.924279286,3.8,2
60,5.447158031,3.8,2
60,5.832508913,3.8,2
60,5.643452676,3.8,2
90,5.698970004,3.8,2
90,5.698970004,3.8,2
90,5.716003344,3.8,2
120,5.672097858,3.8,2
120,5.707570176,3.8,2
120,5.72427587,3.8,2
150,5.414973348,3.8,2
150,5.204119983,3.8,2
150,5.69019608,3.8,2
180,4.602059991,3.8,2
180,4.301029996,3.8,2
180,5.322219295,3.8,2
210,5.041392685,3.8,2
210,4.77815125,3.8,2
210,5.113943352,3.8,2
240,3,3.8,2
240,3.301029996,3.8,2
240,3.954242509,3.8,2
0,6.079181246,3,3
0,6.086359831,3,3
0,5.477121255,3,3
1.5,5.857332496,3,3
1.5,6.161368002,3,3
1.5,5.698970004,3,3
3,5.792391689,3,3
3,5.86923172,3,3
3,5.740362689,3,3
4.5,5.041392685,3,3
4.5,5.079181246,3,3
4.5,5.255272505,3,3
6,3.954242509,3,3
6,4.380211242,3,3
6,3.84509804,3,3
7.5,1.602059991,3,3
7.5,2.698970004,3,3
7.5,2.301029996,3,3
0,5.892094603,3.2,3
0,5.681241237,3.2,3
0,5.982271233,3.2,3
4,5.568201724,3.2,3
4,5.77815125,3.2,3
4,5.799340549,3.2,3
8,5.079181246,3.2,3
8,5.556302501,3.2,3
8,5.633468456,3.2,3
12,4,3.2,3
12,4.301029996,3.2,3
12,5.278753601,3.2,3
16,2.477121255,3.2,3
16,3.477121255,3.2,3
16,2.954242509,3.2,3
20,1.903089987,3.2,3
20,2,3.2,3
20,1.903089987,3.2,3
0,6.421603927,3.4,3
0,6.064457989,3.4,3
0,5.924279286,3.4,3
15,6.610660163,3.4,3
15,6.318063335,3.4,3
15,6.338456494,3.4,3
30,5.919078092,3.4,3
30,5.716003344,3.4,3
30,5.740362689,3.4,3
45,5.521138084,3.4,3
45,5.488550717,3.4,3
45,5.245512668,3.4,3
60,3.73239376,3.4,3
60,3.653212514,3.4,3
60,4.096910013,3.4,3
75,3.176091259,3.4,3
75,2,3.4,3
75,2.903089987,3.4,3
0,6.653212514,3.6,3
0,5.959041392,3.6,3
0,5.897627091,3.6,3
20,5.838849091,3.6,3
20,5.880813592,3.6,3
20,5.447158031,3.6,3
40,6.056904851,3.6,3
40,5.785329835,3.6,3
40,5.86332286,3.6,3
60,5.643452676,3.6,3
60,5.69019608,3.6,3
60,5.770852012,3.6,3
80,5.017033339,3.6,3
80,4.986771734,3.6,3
80,4.857332496,3.6,3
100,3.763427994,3.6,3
100,4.301029996,3.6,3
100,4.230448921,3.6,3
120,3.120573931,3.6,3
120,2.880813592,3.6,3
120,3,3.6,3
140,2.897627091,3.6,3
140,2.612783857,3.6,3
140,2.079181246,3.6,3
0,6.658964843,3.8,3
0,5.959041392,3.8,3
0,5.897627091,3.8,3
30,5.86332286,3.8,3
30,5.819543936,3.8,3
30,5.819543936,3.8,3
60,5.806179974,3.8,3
60,5.748188027,3.8,3
60,5.897627091,3.8,3
90,6.149219113,3.8,3
90,5.959041392,3.8,3
90,6.033423755,3.8,3
120,5.77815125,3.8,3
120,5.799340549,3.8,3
120,5.633468456,3.8,3
150,5.838849091,3.8,3
150,5.880813592,3.8,3
150,5.591064607,3.8,3
180,5.799340549,3.8,3
180,5.939519253,3.8,3
180,6,3.8,3
210,5.173186268,3.8,3
210,5.23299611,3.8,3
210,5.635483747,3.8,3
240,5.113943352,3.8,3
240,5.204119983,3.8,3
240,5.292256071,3.8,3
0,6.004321374,3,4
0,6.045322979,3,4
0,5.977723605,3,4
1.5,5.851258349,3,4
1.5,5.740362689,3,4
1.5,5.832508913,3,4
3,5.531478917,3,4
3,5.681241237,3,4
3,5.51851394,3,4
4.5,4.954242509,3,4
4.5,4.84509804,3,4
4.5,5.176091259,3,4
6,3.954242509,3,4
6,3.477121255,3,4
6,4.079181246,3,4
7.5,3.079181246,3,4
7.5,2,3,4
7.5,2,3,4
9,1.84509804,3,4
9,1,3,4
9,1.602059991,3,4
0,6.1430148,3.2,4
0,6.139879086,3.2,4
0,6.170261715,3.2,4
4,6.113943352,3.2,4
4,5.959041392,3.2,4
4,6.093421685,3.2,4
8,5.770852012,3.2,4
8,5.875061263,3.2,4
8,5.707570176,3.2,4
12,5.42975228,3.2,4
12,5.431363764,3.2,4
12,5.079181246,3.2,4
16,4.350248018,3.2,4
16,4.28780173,3.2,4
16,4.283301229,3.2,4
20,2.633468456,3.2,4
20,2.86923172,3.2,4
20,3.164352856,3.2,4
24,2.51851394,3.2,4
24,1.698970004,3.2,4
24,2,3.2,4
0,6.1430148,3.4,4
0,6.139879086,3.4,4
0,6.170261715,3.4,4
15,6.012837225,3.4,4
15,5.544068044,3.4,4
15,6,3.4,4
30,5.707570176,3.4,4
30,5.491361694,3.4,4
30,5.662757832,3.4,4
45,4.568201724,3.4,4
45,4.826074803,3.4,4
45,4.72427587,3.4,4
60,2.301029996,3.4,4
60,2,3.4,4
60,3.041392685,3.4,4
0,6.11058971,3.6,4
0,6.176091259,3.6,4
20,6.029383778,3.6,4
20,6.146128036,3.6,4
40,6.155336037,3.6,4
40,6.11058971,3.6,4
60,6.089905111,3.6,4
60,6.164352856,3.6,4
80,5.411619706,3.6,4
80,5.269512944,3.6,4
100,4.401400541,3.6,4
100,4.477121255,3.6,4
120,3.419955748,3.6,4
120,3.394451681,3.6,4
140,2.146128036,3.6,4
140,2.204119983,3.6,4
0,6.11058971,3.8,4
0,6.176091259,3.8,4
30,6.176091259,3.8,4
30,6.08278537,3.8,4
60,6.217483944,3.8,4
60,6.130333768,3.8,4
90,6.086359831,3.8,4
90,6.045322979,3.8,4
120,6,3.8,4
120,6.012837225,3.8,4
150,6.021189299,3.8,4
150,5.897627091,3.8,4
180,5.857332496,3.8,4
180,5.707570176,3.8,4
210,5.643452676,3.8,4
210,5.602059991,3.8,4
240,5.408239965,3.8,4
240,5.079181246,3.8,4
0,6.292256071,3,5
0,6.267171728,3,5
0,6.167317335,3,5
1.5,6.100370545,3,5
1.5,6.294466226,3,5
1.5,6.184691431,3,5
3,5.944482672,3,5
3,5.903089987,3,5
3,5.903089987,3,5
4.5,5.653212514,3,5
4.5,5.633468456,3,5
4.5,4.698970004,3,5
6,4.079181246,3,5
6,4,3,5
6,4.041392685,3,5
7.5,3.146128036,3,5
7.5,3.079181246,3,5
7.5,3.230448921,3,5
0,5.826074803,3.2,5
0,6.056904851,3.2,5
0,5.672097858,3.2,5
4,6.093421685,3.2,5
4,5.991226076,3.2,5
4,6.167317335,3.2,5
8,5.973127854,3.2,5
8,5.968482949,3.2,5
8,6,3.2,5
12,5.755874856,3.2,5
12,5.973127854,3.2,5
12,5.982271233,3.2,5
16,4.72427587,3.2,5
16,4.72427587,3.2,5
16,5.204119983,3.2,5
20,2.477121255,3.2,5
20,4.303196057,3.2,5
20,4.459392488,3.2,5
24,2,3.2,5
24,3.954242509,3.2,5
24,3.792391689,3.2,5
0,6.365487985,3.4,5
0,5.944482672,3.4,5
0,6.505149978,3.4,5
15,6.380211242,3.4,5
15,5.851258349,3.4,5
15,6.274157849,3.4,5
30,6.037426498,3.4,5
30,5.079181246,3.4,5
30,5.785329835,3.4,5
45,5.301029996,3.4,5
45,4.763427994,3.4,5
45,4.698970004,3.4,5
60,4.541579244,3.4,5
60,4.187520721,3.4,5
60,3.949390007,3.4,5
75,3.342422681,3.4,5
75,3.041392685,3.4,5
75,2.301029996,3.4,5
90,2.255272505,3.4,5
90,1.301029996,3.4,5
90,1,3.4,5
0,5.826074803,3.6,5
0,6.056904851,3.6,5
0,5.672097858,3.6,5
20,5.875061263,3.6,5
20,5.633468456,3.6,5
20,5.662757832,3.6,5
40,5.913813852,3.6,5
40,6.012837225,3.6,5
40,5.86923172,3.6,5
60,5.763427994,3.6,5
60,6.004321374,3.6,5
60,5.643452676,3.6,5
80,5,3.6,5
80,4.944482672,3.6,5
80,4.991226076,3.6,5
100,4.380211242,3.6,5
100,4.526339277,3.6,5
100,4.357934847,3.6,5
120,3.586587305,3.6,5
120,3.536558443,3.6,5
120,3.515873844,3.6,5
140,3.26245109,3.6,5
140,2.919078092,3.6,5
140,2.740362689,3.6,5
160,1.602059991,3.6,5
160,2.079181246,3.6,5
160,2,3.6,5
180,1,3.6,5
180,1.301029996,3.6,5
180,1.698970004,3.6,5
0,5.591064607,3.8,5
0,6,3.8,5
0,5.892094603,3.8,5
30,5.944482672,3.8,5
30,5.633468456,3.8,5
30,6.049218023,3.8,5
60,5.568201724,3.8,5
60,5.602059991,3.8,5
60,5.62324929,3.8,5
90,5.414973348,3.8,5
90,5.763427994,3.8,5
90,5.77815125,3.8,5
120,5.477121255,3.8,5
120,5.602059991,3.8,5
120,5.380211242,3.8,5
150,5.505149978,3.8,5
150,5.278753601,3.8,5
150,5.716003344,3.8,5
180,5.176091259,3.8,5
180,5.531478917,3.8,5
180,5.079181246,3.8,5
210,4.880813592,3.8,5
210,4.924279286,3.8,5
210,5.025305865,3.8,5
240,4.075546961,3.8,5
240,4.477121255,3.8,5
240,4.146128036,3.8,5
0,6.053078443,3,6
0,6.068185862,3,6
0,6.093421685,3,6
1.5,6.021189299,3,6
1.5,6.004321374,3,6
1.5,6.123851641,3,6
3,5.204119983,3,6
3,5.954242509,3,6
3,5.897627091,3,6
4.5,4.954242509,3,6
4.5,4,3,6
4.5,5.707570176,3,6
6,3.903089987,3,6
6,3,3,6
6,4.929418926,3,6
7.5,2,3,6
7.5,2.954242509,3,6
7.5,3.851258349,3,6
0,5.770852012,3.2,6
0,6.113943352,3.2,6
0,5.826074803,3.2,6
4,5.698970004,3.2,6
4,5.812913357,3.2,6
4,5.954242509,3.2,6
8,5.544068044,3.2,6
8,5.799340549,3.2,6
8,5.819543936,3.2,6
12,5.462397998,3.2,6
12,5.462397998,3.2,6
12,5.414973348,3.2,6
16,4.643452676,3.2,6
16,4.431363764,3.2,6
16,4.431363764,3.2,6
20,3.568201724,3.2,6
20,3.681241237,3.2,6
20,3.799340549,3.2,6
24,1.477121255,3.2,6
24,2.602059991,3.2,6
24,2.477121255,3.2,6
0,6.152288344,3.4,6
0,6.209515015,3.4,6
0,6.212187604,3.4,6
15,5.84509804,3.4,6
15,6.146128036,3.4,6
15,6.049218023,3.4,6
30,5.977723605,3.4,6
30,6.075546961,3.4,6
30,5.301029996,3.4,6
45,5.086359831,3.4,6
45,4.924279286,3.4,6
45,4.995635195,3.4,6
60,4.120573931,3.4,6
60,4.214843848,3.4,6
60,4.361727836,3.4,6
75,3,3.4,6
75,2,3.4,6
75,2.079181246,3.4,6
0,6.053078443,3.6,6
0,6.068185862,3.6,6
0,6.093421685,3.6,6
20,5.568201724,3.6,6
20,5.832508913,3.6,6
20,5.991226076,3.6,6
40,5.991226076,3.6,6
40,6.021189299,3.6,6
40,5.838849091,3.6,6
60,5.763427994,3.6,6
60,5.826074803,3.6,6
60,6.133538908,3.6,6
80,5.399673721,3.6,6
80,5.301029996,3.6,6
80,5.301029996,3.6,6
100,4.204119983,3.6,6
100,4.602059991,3.6,6
100,4.322219295,3.6,6
120,3.301029996,3.6,6
120,3.334453751,3.6,6
120,3.176091259,3.6,6
140,3.322219295,3.6,6
140,3.021189299,3.6,6
140,3.301029996,3.6,6
160,2.86332286,3.6,6
160,3.204119983,3.6,6
160,2,3.6,6
180,2.681241237,3.6,6
180,2.204119983,3.6,6
180,1.301029996,3.6,6
0,5.770852012,3.8,6
0,6.113943352,3.8,6
0,5.826074803,3.8,6
30,6.201397124,3.8,6
30,5.986771734,3.8,6
30,6.025305865,3.8,6
60,5.919078092,3.8,6
60,5.806179974,3.8,6
60,6.204119983,3.8,6
90,5.959041392,3.8,6
90,6.012837225,3.8,6
90,5.857332496,3.8,6
120,5.929418926,3.8,6
120,6.1430148,3.8,6
120,5.707570176,3.8,6
150,5.72427587,3.8,6
150,5.255272505,3.8,6
150,5.69019608,3.8,6
180,5.681241237,3.8,6
180,5.633468456,3.8,6
180,5.806179974,3.8,6
210,5.579783597,3.8,6
210,5.544068044,3.8,6
210,5.414973348,3.8,6
240,5.505149978,3.8,6
240,5.491361694,3.8,6
240,5.73239376,3.8,6
0,6.120573931,3,7
0,6.037426498,3,7
0,6.206825876,3,7
1.5,5.973127854,3,7
1.5,5.908485019,3,7
1.5,5.949390007,3,7
3,5.146128036,3,7
3,5.544068044,3,7
3,5.86923172,3,7
4.5,4,3,7
4.5,4.903089987,3,7
4.5,4,3,7
6,3.079181246,3,7
6,3.602059991,3,7
6,3.602059991,3,7
7.5,2,3,7
7.5,2.84509804,3,7
7.5,2.255272505,3,7
9,1,3,7
0,6.10720997,3.2,7
